"lang"
{
    "Language"    "Russian"
"DOTA_Tooltip_ability_item_tpscroll_custom_Note0"								"Оцепенение прерывает и не позволяет совершить телепортацию."
"DOTA_Tooltip_ability_item_tpscroll_custom_Lore"								"То, что нужно истинному герою."

"DOTA_Tooltip_Ability_item_refresher_custom"									"Refresher Orb"
"DOTA_Tooltip_ability_item_refresher_custom_Description"						"<h1>Активное: Reset</h1>Сбрасывает время перезарядки всех ваших предметов и способностей.<br><br><b><font color='#ff0000'>Перезарядка этого предмета не сбрасывается в финальной дуэли</font></b>"
"DOTA_Tooltip_ability_item_refresher_custom_Lore"								"Могущественный артефакт, созданный для магов."
"DOTA_Tooltip_ability_item_refresher_custom_bonus_health_regen"					"+$hp_regen"
"DOTA_Tooltip_ability_item_refresher_custom_bonus_mana_regen"					"+$mana_regen"

"DOTA_Tooltip_Ability_item_black_king_bar_custom"								"Black King Bar"
"DOTA_Tooltip_ability_item_black_king_bar_custom_Description"					"<h1>Активное: Avatar</h1> Даёт невосприимчивость к магии.<br><br>Длительность: %duration%<br>Тип развеивания: <span class=\"GameplayValues GameplayVariable\">нормальное</span>"
"DOTA_Tooltip_ability_item_black_king_bar_custom_Lore"							"Мощный посох, наделённый силой гигантов."
"DOTA_Tooltip_ability_item_black_king_bar_custom_Note0"							"Использование Black King Bar снимает некоторые положительные эффекты."
"DOTA_Tooltip_ability_item_black_king_bar_custom_bonus_strength"				"+$str"
"DOTA_Tooltip_ability_item_black_king_bar_custom_bonus_damage"					"+$damage"

"DOTA_Tooltip_modifier_item_black_king_bar_custom_active"						"Black King Bar"
"DOTA_Tooltip_modifier_item_black_king_bar_custom_active_Description"			"Существо невосприимчиво к магии."

"DOTA_Tooltip_modifier_custom_ability_teleport"									"Телепортация




"DOTA_Tooltip_modifier_item_wraith_band_custom_speed"				"Wraith Band"
"DOTA_Tooltip_modifier_item_wraith_band_custom_speed_Description"	"Скорость атаки увеличена на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%</font></b>"


"DOTA_Tooltip_Ability_item_wraith_band_custom"								"Wraith Band"
"DOTA_Tooltip_ability_item_wraith_band_custom_Description"					"<h1>Активное: Zeal</h1>Увеличивает вашу скорость атаки на %speed_buf% за каждый Wraith Band<br><br>Длительность: %duration% секунд"

"DOTA_Tooltip_ability_item_wraith_band_custom_Lore"							"Тиара, от которой доносится лёгкий шёпот."
"DOTA_Tooltip_ability_item_wraith_band_custom_agi"					"+$agi"
"DOTA_Tooltip_ability_item_wraith_band_custom_str"					"+$str"
"DOTA_Tooltip_ability_item_wraith_band_custom_int"					"+$int"
"DOTA_Tooltip_ability_item_wraith_band_custom_speed"				"+$attack"
"DOTA_Tooltip_ability_item_wraith_band_custom_armor"				"+$armor"


"DOTA_Tooltip_modifier_item_null_talisman_custom_mana"				"Null Talisman"
"DOTA_Tooltip_modifier_item_null_talisman_custom_mana_Description"	"Восстанавливает <b><font color='#53ea48'>%dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%</font></b> маны в секунду"


"DOTA_Tooltip_Ability_item_null_talisman_custom"								"Null Talisman"
"DOTA_Tooltip_ability_item_null_talisman_custom_Description"					"<h1>Активное: Regen</h1>Восстанавливает %mana% маны за %duration% секунд за каждый Null Talisman"
"DOTA_Tooltip_ability_item_null_talisman_custom_Lore"							"Небольшой драгоценный камень на нескольких цепочках."
"DOTA_Tooltip_ability_item_null_talisman_custom_int"					"+$int"
"DOTA_Tooltip_ability_item_null_talisman_custom_str"					"+$str"
"DOTA_Tooltip_ability_item_null_talisman_custom_agi"					"+$agi"
"DOTA_Tooltip_ability_item_null_talisman_custom_spell"				"%+$spell_amp"
"DOTA_Tooltip_ability_item_null_talisman_custom_regen"				"+$mana_regen"



"DOTA_Tooltip_modifier_item_bracer_custom_heal"				"Bracer"
"DOTA_Tooltip_modifier_item_bracer_custom_heal_Description"	"Восстанавливает <b><font color='#53ea48'>%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%</font></b> здоровья в секунду"


"DOTA_Tooltip_Ability_item_bracer_custom"								"Bracer"
"DOTA_Tooltip_ability_item_bracer_custom_Description"					"<h1>Активное: Regen</h1>Восстанавливает %heal% здоровья за %duration% секунд за каждый Bracer"
"DOTA_Tooltip_ability_item_bracer_custom_Lore"							"Наручи подойдут в том случае, если нужно укрепить защиту и повысить живучесть."
"DOTA_Tooltip_ability_item_bracer_custom_str"					"+$str"
"DOTA_Tooltip_ability_item_bracer_custom_int"					"+$int"
"DOTA_Tooltip_ability_item_bracer_custom_agi"					"+$agi"
"DOTA_Tooltip_ability_item_bracer_custom_damage"				"+$damage"
"DOTA_Tooltip_ability_item_bracer_custom_regen"				"+$hp_regen"





"DOTA_Tooltip_Ability_item_veil_of_corruption"				"Veil of Corruption"
"DOTA_Tooltip_ability_item_veil_of_corruption_Description"					"<h1>Активное: Magic Weakness</h1>Ослабляет противников в области радиусом %debuff_radius%, отчего они получают на %spell_amp%%% больше урона от заклинаний, а их <b><font color='#53ea48'>сопротивление эффектам</font></b> снижается на %status_resist%%%.<br><br>Дальность применения: %abilitycastrange%<br>Длительность: %resist_debuff_duration% сек" 		
"DOTA_Tooltip_ability_item_veil_of_corruption_lore"					"Головной убор испорченных магов." 		
"DOTA_Tooltip_ability_item_veil_of_corruption_bonus_armor"                     "+$armor"
"DOTA_Tooltip_ability_item_veil_of_corruption_bonus_all_stats"                     "+$all"
"DOTA_Tooltip_ability_item_veil_of_corruption_mana_regen"					"+$mana_regen"


"DOTA_Tooltip_modifier_item_veil_of_corruption_debuff"				"Veil of Corruption"
"DOTA_Tooltip_modifier_item_veil_of_corruption_debuff_Description"	"Сопротивление эффектам снижено на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%</font></b>, получает на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOOLTIP%%%</font></b> больше урона от заклинаний"




"DOTA_Tooltip_Ability_item_echo_spear_custom"				"Echo Spear"
"DOTA_Tooltip_ability_item_echo_spear_custom_Description"					"<h1>Активное: Rush</h1><b><font color='#53ea48'>Притягивает</font></b> вас и вашу цель в одну точку, а также наносит ей %damage% магического урона.<br><br>При использовании на себя или союзника, работает как Force Staff.<br><br>Также моментально завершает <b><font color='#53ea48'>перезарядку</font></b> Echo Strike\n<h1>Пассивное: Echo Strike</h1> Позволяет героям ближнего боя совершить двойную атаку, которая на %strike_duration% сек. уменьшает скорость передвижения жертвы на %strike_slow%%%.<br><br>Перезарядка: %strike_cd% секунд" 		
"DOTA_Tooltip_ability_item_echo_spear_custom_lore"					"Обманчиво быстрый клинок, полный магии звука." 		
"DOTA_Tooltip_ability_item_echo_spear_custom_bonus_intellect"                     "+$int"
"DOTA_Tooltip_ability_item_echo_spear_custom_bonus_strength"                     "+$str"
"DOTA_Tooltip_ability_item_echo_spear_custom_bonus_damage"                     "+$damage"
"DOTA_Tooltip_ability_item_echo_spear_custom_bonus_speed"					"+$attack"
"DOTA_Tooltip_ability_item_echo_spear_custom_bonus_health"					"+$health"
"DOTA_Tooltip_ability_item_echo_spear_custom_bonus_mana"					"+$mana_regen"



"DOTA_Tooltip_modifier_item_echo_spear_cd"					"Echo Spear"
"DOTA_Tooltip_modifier_item_echo_spear_cd_Description"		"Перезарядка двойного удара"


"DOTA_Tooltip_modifier_item_echo_spear_slow"					"Echo Spear"
"DOTA_Tooltip_modifier_item_echo_spear_slow_Description"		"Замедлен"



"DOTA_Tooltip_Ability_item_observer_stackable"            "Observer Ward"
"DOTA_Tooltip_ability_item_observer_stackable_Description"                    "<h1>Использование: Plant</h1> Устанавливает невидимый тотем наблюдения, который даёт наземный обзор в радиусе %vision_range_tooltip%. Действует %duration_minutes_tooltip% мин. <br><br>Можно передать один вард союзному герою, зажав клавишу Ctrl.<br><br>Дальность установки: %abilitycastrange%"


"DOTA_Tooltip_Ability_item_radiance_custom"				"Radiance"
"DOTA_Tooltip_ability_item_radiance_custom_Description"						"<h1>Переключаемая: Burn</h1>Если включена, каждую секунду наносит противникам магический урон и ослепляет их, вынуждая промахиваться в %blind_pct%%% случаев.<br><br>Урон крипам: %creeps_damage%<br>Урон героям: %heroes_damage_base% + <font color='#53ea48'>%heroes_damage_health_tooltip%%%</font> от их макс. здоровья</font><br>Урон у иллюзий: %aura_damage_illusions%<br><br>Радиус: %aura_radius%"	
"DOTA_Tooltip_ability_item_radiance_custom_Lore"								"Божественный меч, окружающий владельца ярким сиянием, которое обращает в пепел всех врагов вокруг."
"DOTA_Tooltip_ability_item_radiance_custom_bonus_damage"						"+$damage"		
"DOTA_Tooltip_ability_item_radiance_custom_evasion"						"%+$evasion"		

		
"DOTA_Tooltip_modifier_radiance_custom_burn"				"Burn Damage"
"DOTA_Tooltip_modifier_radiance_custom_burn_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду и промахивается в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% случаев."



"DOTA_Tooltip_Ability_item_witchfury"				"Witchfury"
"DOTA_Tooltip_ability_item_witchfury_Description"					"<h1>Пассивное: Witchfury</h1>Ваша следующая атака <b><font color='#53ea48'>обездвижит</font></b> цель на %root% секунды и отравит ее на %damage_duration% сек. Отравление замедляет цель на %slow%%% и наносит магический урон каждую секунду, равный %int_damage_tooltip%%% от вашего интеллекта.<br><br>Такая атака не может промахнуться<br><br>Длительность <b><font color='#53ea48'>не снижается</font></b> сопротивлением эффектов<br><br>Эффект полностью работает на <b><font color='#53ea48'>магическую неуязвимость</font></b>" 		
"DOTA_Tooltip_ability_item_witchfury_lore"					"Коварный клинок, в котором оказалась заключена душа его неосторожного создателя." 		
"DOTA_Tooltip_ability_item_witchfury_int_bonus"                     "+$int"	
"DOTA_Tooltip_ability_item_witchfury_agi_bonus"                     "+$agi"	
"DOTA_Tooltip_ability_item_witchfury_str_bonus"                     "+$str"
"DOTA_Tooltip_ability_item_witchfury_speed_bonus"					"+$attack"
"DOTA_Tooltip_ability_item_witchfury_armor_bonus"					"+$armor"
"DOTA_Tooltip_ability_item_witchfury_proj_bonus"					"+$projectile_speed"


"DOTA_Tooltip_item_witchfury_root"					"Witchfury"
"DOTA_Tooltip_item_witchfury_root_Description"		"Обездвижен"


"DOTA_Tooltip_item_witchfury_poison"					"Witchfury"
"DOTA_Tooltip_item_witchfury_poison_Description"		"Скорость передвижения снижена на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</font></b>, получает магический урон"


"DOTA_Tooltip_Ability_item_urn_of_shadows_custom"			"Urn of Shadows"
"DOTA_Tooltip_ability_item_urn_of_shadows_custom_Description"					"<h1>Активное: Soul Release</h1>Эффект зависит от выбранной цели: либо увеличивает восстановление здоровья союзника на %soul_heal_amount%, либо наносит противнику %soul_damage_amount% урона в секунду. <br><br>Действует %duration% сек.<br><br><b><font color='#53ea48'>Получает %init_charges% заряда при покупке</font></b>, а так же %soul_additional_charges% заряда каждый раз, когда вражеский герой умирает в радиусе %soul_radius%.<br><br>Дальность применения: %abilitycastrange% 
"DOTA_Tooltip_ability_item_urn_of_shadows_custom_Note1"							"Если применить на противника, на которого уже действует этот предмет, длительность эффекта обновится."
"DOTA_Tooltip_ability_item_urn_of_shadows_custom_Lore"							"Содержит пепел могучих демонов."
"DOTA_Tooltip_ability_item_urn_of_shadows_custom_mana_regen"					"+$mana_regen"
"DOTA_Tooltip_ability_item_urn_of_shadows_custom_bonus_armor"					"+$armor"
"DOTA_Tooltip_ability_item_urn_of_shadows_custom_bonus_all_stats"				"+$all"

"DOTA_Tooltip_modifier_item_urn_of_shadows_custom_active_ally"					"Soul Release"
"DOTA_Tooltip_modifier_item_urn_of_shadows_custom_active_ally_Description"		"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья в секунду."

"DOTA_Tooltip_modifier_item_urn_of_shadows_custom_active_enemy"					"Soul Release"
"DOTA_Tooltip_modifier_item_urn_of_shadows_custom_active_enemy_Description"		"Получает 40 урона в секунду."

"DOTA_Tooltip_Ability_item_spirit_vessel_custom"				"Spirit Vessel"
"DOTA_Tooltip_ability_item_spirit_vessel_custom_Description"					"<h1>Активное: Soul Release</h1>Эффект зависит от выбранной цели.<br><br>Если применить на противника, он будет получать <b><font color='#26b6eb'>магический</font></b> урон каждую секунду, равный %soul_damage_amount% + %enemy_hp_drain%%% от своего текущего запаса здоровья.<br>Также его исцеление и регенерация снижаются на %hp_regen_reduction_enemy%%%.<br><br>Если применить на союзника, увеличивает его восстановление здоровья на %soul_heal_amount% в секунду. <br><br>Действует %duration% сек.<br><br><b><font color='#53ea48'>Получает %init_charges% заряда при покупке</font></b>, а так же %soul_additional_charges% заряда каждый раз, когда вражеский герой умирает в радиусе %soul_radius%.<br><br>Дальность применения: %abilitycastrange%" 		
"DOTA_Tooltip_ability_item_spirit_vessel_custom_lore"					"Сотворена богом, желавшим изловить души остальных." 		
"DOTA_Tooltip_ability_item_spirit_vessel_custom_bonus_health"                     "+$health"
"DOTA_Tooltip_ability_item_spirit_vessel_custom_bonus_mana_regen"                "+$mana_regen"
"DOTA_Tooltip_ability_item_spirit_vessel_custom_bonus_all_stats"                "+$all"
"DOTA_Tooltip_ability_item_spirit_vessel_custom_bonus_armor"					"+$armor"
"DOTA_Tooltip_ability_item_spirit_vessel_custom_mana_regen"						"+$mana_regen"
	


"DOTA_Tooltip_Ability_item_soul_keeper_custom"				"Soul Keeper Trinket"
"DOTA_Tooltip_ability_item_soul_keeper_custom_Description"					"<h1>Активное: Soul Release</h1>Эффект зависит от выбранной цели<br><br>Если применить на противника, он будет получать <b><font color='#b0a41a'>чистый</font></b> урон каждую секунду, равный %soul_damage_amount% + %enemy_hp_drain%%% от своего текущего запаса здоровья<br>Также его исцеление и регенерация снижаются на %hp_regen_reduction_enemy%%%.<br><br>Если применить на союзника, исцеляет его на %soul_heal_amount% здоровья в секунду. Эффект <b><font color='#53ea48'>не прерывается</font></b> уроном<br><br>Действует %duration% сек.<br><br><b><font color='#53ea48'>Получает %init_charges% заряда при покупке</font></b>, а так же %soul_additional_charges% заряда каждый раз, когда вражеский герой умирает в радиусе %soul_radius%.<br><br>Дальность применения: %abilitycastrange%" 		
"DOTA_Tooltip_ability_item_soul_keeper_custom_lore"					"Сотворена богом, желавшим изловить души остальных." 		
"DOTA_Tooltip_ability_item_soul_keeper_custom_bonus_health"                     "+$health"
"DOTA_Tooltip_ability_item_soul_keeper_custom_bonus_mana"						"+$mana"
"DOTA_Tooltip_ability_item_soul_keeper_custom_bonus_mana_regen"                "+$mana_regen"
"DOTA_Tooltip_ability_item_soul_keeper_custom_bonus_all_stats"                "+$all"
"DOTA_Tooltip_ability_item_soul_keeper_custom_bonus_armor"					"+$armor"
"DOTA_Tooltip_ability_item_soul_keeper_custom_mana_regen"						"+$mana_regen"





"DOTA_Tooltip_modifier_item_spirit_vessel_custom_active_ally"							"Лечение от Spirit Vessel"
"DOTA_Tooltip_modifier_item_spirit_vessel_custom_active_ally_Description"				"Исцеляется на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% в секунду"

"DOTA_Tooltip_modifier_item_spirit_vessel_custom_active_enemy"							"Урон от Spirit Vessel"
"DOTA_Tooltip_modifier_item_spirit_vessel_custom_active_enemy_Description"				"Каждую секунду получает магический урон. Лечение уменьшено на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_TARGET%%%</font></b>."




"DOTA_Tooltip_modifier_item_soul_keeper_custom_active_ally"							"Лечение от Soul Keeper Trinket"
"DOTA_Tooltip_modifier_item_soul_keeper_custom_active_ally_Description"				"Излечивается на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья в секунду."

"DOTA_Tooltip_modifier_item_soul_keeper_custom_active_enemy"							"Урон от Soul Keeper Trinket"
"DOTA_Tooltip_modifier_item_soul_keeper_custom_active_enemy_Description"				"Каждую секунду получает чистый урон. Лечение уменьшено на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_TARGET%%%</font></b>."


"DOTA_Tooltip_modifier_item_spirit_vessel_custom_passive"							"Заряды Spirit Vessel"
"DOTA_Tooltip_modifier_item_spirit_vessel_custom_passive_Description"				"Вы получаете 1 заряд Spirit Vessel раз в 120 секунд"




"DOTA_Tooltip_modifier_item_urn_of_shadows_custom_passive"							"Заряды Urn of Shadows"
"DOTA_Tooltip_modifier_item_urn_of_shadows_custom_passive_Description"				"Вы получаете 1 заряд Urn of Shadows раз в 120 секунд"




"DOTA_Tooltip_modifier_item_soul_keeper_custom_passive"							"Заряды Soul Keeper Trinket"
"DOTA_Tooltip_modifier_item_soul_keeper_custom_passive_Description"				"Вы получаете 1 заряд Soul Keeper Trinket раз в 120 секунд"





"DOTA_Tooltip_Ability_item_arcane_boots_custom"	"Arcane Boots"
"DOTA_Tooltip_ability_item_arcane_boots_custom_Description"	"<h1>Активируемая: Replenish Mana</h1> Восстанавливает %replenish_amount% маны.\nОсновные бонусы к скорости передвижения от нескольких пар ботинок не складываются."
"DOTA_Tooltip_ability_item_arcane_boots_custom_Lore"	"Магу, что носит эти ботинки, всегда рады в бою."
"DOTA_Tooltip_ability_item_arcane_boots_custom_bonus_movement"	"+$move_speed"
"DOTA_Tooltip_ability_item_arcane_boots_custom_bonus_mana"	"+$mana"

"DOTA_Tooltip_Ability_item_mekansm_custom"	"Mekansm"
"DOTA_Tooltip_ability_item_mekansm_custom_Description"	"<h1>Активируемая: Restore</h1> Восстанавливает <b><font color='#53ea48'>%heal_amount%%%</font></b> здоровья."
"DOTA_Tooltip_ability_item_mekansm_custom_Lore"	"Сияющий самоцвет, собранный из частей, которые удивительным образом идеально дополняют друг друга."
"DOTA_Tooltip_ability_item_mekansm_custom_health_regen"	"+$hp_regen"
"DOTA_Tooltip_ability_item_mekansm_custom_bonus_armor"	"+$armor"


"DOTA_Tooltip_Ability_item_Guardian_greaves_custom"	"Guardian Greaves"
"DOTA_Tooltip_ability_item_Guardian_greaves_custom_Description"	"<h1>Активируемая: Mend</h1>Восстанавливает <b><font color='#53ea48'>%replenish_health%%%</font></b> здоровья и %replenish_mana% маны, а также снимает с владельца большинство отрицательных эффектов.<br><br>Тип развеивания: <span class=\"GameplayValues GameplayVariable\">нормальное</span>\n<h1>Пассивная: Guardian Aura</h1> Когда уровень вашего здоровья опускается ниже %aura_bonus_threshold%%%, входящий по вам урон снижается на <b><font color='#53ea48'>%aura_reduction%%%</font></b>, а способность Mend применяется <b><font color='#53ea48'>автоматически</font></b>, если она не была на перезарядке"
"DOTA_Tooltip_ability_item_Guardian_greaves_custom_bonus_movement"	"+$move_speed"
"DOTA_Tooltip_ability_item_Guardian_greaves_custom_bonus_mana"	"+$mana"
"DOTA_Tooltip_ability_item_Guardian_greaves_custom_bonus_armor"	"+$armor"
